X			Y
443.24404	305.58307
447.10328	372.30132
293.03537	416.12602
317.30492	360.02511
439.54788	299.44373
414.37984	298.39306
309.18595	685.20404
383.24280	303.56161
266.21981	161.58766
290.31203	184.24664
356.95685	97.66359
441.11564	194.52757
383.51998	204.85783
398.82690	97.64775
448.26528	174.86396
434.14931	128.28852
339.46214	203.84063
495.57892	317.41825
507.15393	361.36035
295.81834	852.25275
114.96378	342.27026
202.50872	148.88453
182.44638	162.73901
177.91610	270.36878
250.00824	-1571.46395
467.05016	240.86545
507.81625	81.90424
553.03624	111.36414
842.30944	129.26738
-145.14794	151.88031
541.71036	298.32758
552.47281	380.16953
425.99057	57.28163
464.79932	-26.57712
495.21058	160.80979
508.02423	161.22058
513.43955	244.08946
547.61970	202.29005
495.45557	89.72050
505.53082	81.15555
483.79650	94.72282
117.05850	335.03270
541.90407	297.90373
540.89669	281.39000
822.59422	135.84912
